#x    u
0    0.4
0.00628931    0.4
0.0125786    0.4
0.0188679    0.4
0.0251572    0.4
0.0314465    0.4
0.0377358    0.4
0.0440252    0.4
0.0503145    0.4
0.0566038    0.4
0.0628931    0.4
0.0691824    0.4
0.0754717    0.4
0.081761    0.4
0.0880503    0.4
0.0943396    0.4
0.100629    0.4
0.106918    0.4
0.113208    0.4
0.119497    0.4
0.125786    0.4
0.132075    0.4
0.138365    0.4
0.144654    0.4
0.150943    0.4
0.157233    0.4
0.163522    0.4
0.169811    0.4
0.176101    0.4
0.18239    0.4
0.188679    0.4
0.194969    0.4
0.201258    0.4
0.207547    0.4
0.213836    0.4
0.220126    0.4
0.226415    0.4
0.232704    0.4
0.238994    0.4
0.245283    0.4
0.251572    0.4
0.257862    0.4
0.264151    0.4
0.27044    0.4
0.27673    0.4
0.283019    0.4
0.289308    0.4
0.295597    0.4
0.301887    0.4
0.308176    0.4
0.314465    0.4
0.320755    0.4
0.327044    0.4
0.333333    0.4
0.339623    0.4
0.345912    0.4
0.352201    0.4
0.358491    0.4
0.36478    0.4
0.371069    0.4
0.377358    0.400001
0.383648    0.400001
0.389937    0.400002
0.396226    0.400002
0.402516    0.400006
0.408805    0.400006
0.415094    0.400017
0.421384    0.400017
0.427673    0.400049
0.433962    0.400049
0.440252    0.400131
0.446541    0.400131
0.45283    0.400328
0.459119    0.400328
0.465409    0.400776
0.471698    0.400776
0.477987    0.401732
0.484277    0.401732
0.490566    0.403642
0.496855    0.403642
0.503145    0.407224
0.509434    0.407224
0.515723    0.413515
0.522013    0.413515
0.528302    0.423849
0.534591    0.423849
0.540881    0.439711
0.54717    0.439711
0.553459    0.462423
0.559748    0.462423
0.566038    0.492705
0.572327    0.492705
0.578616    0.530228
0.584906    0.530228
0.591195    0.573339
0.597484    0.573339
0.603774    0.619142
0.610063    0.619142
0.616352    0.664002
0.622642    0.664002
0.628931    0.704355
0.63522    0.704355
0.641509    0.737531
0.647799    0.737531
0.654088    0.762277
0.660377    0.762277
0.666667    0.778772
0.672956    0.778772
0.679245    0.788171
0.685535    0.788171
0.691824    0.791908
0.698113    0.791908
0.704403    0.791049
0.710692    0.791049
0.716981    0.785905
0.72327    0.785905
0.72956    0.775985
0.735849    0.775985
0.742138    0.76025
0.748428    0.76025
0.754717    0.73757
0.761006    0.73757
0.767296    0.707294
0.773585    0.707294
0.779874    0.669771
0.786164    0.669771
0.792453    0.626659
0.798742    0.626659
0.805031    0.580852
0.811321    0.580852
0.81761    0.535981
0.823899    0.535981
0.830189    0.495596
0.836478    0.495596
0.842767    0.462338
0.849057    0.462338
0.855346    0.437394
0.861635    0.437394
0.867925    0.420452
0.874214    0.420452
0.880503    0.410098
0.886792    0.410098
0.893082    0.40445
0.899371    0.40445
0.90566    0.401727
0.91195    0.401727
0.918239    0.400581
0.924528    0.400581
0.930818    0.400166
0.937107    0.400166
0.943396    0.400039
0.949686    0.400039
0.955975    0.400007
0.962264    0.400007
0.968553    0.400001
0.974843    0.400001
0.981132    0.4
0.987421    0.4
0.993711    0.4
1    0.4
