#x    u
0    0.578701
0.00628931    0.578701
0.0125786    0.649705
0.0188679    0.649705
0.0251572    0.715195
0.0314465    0.715195
0.0377358    0.763052
0.0440252    0.763052
0.0503145    0.78903
0.0566038    0.78903
0.0628931    0.798337
0.0691824    0.798337
0.0754717    0.799966
0.081761    0.799966
0.0880503    0.799884
0.0943396    0.799884
0.100629    0.799632
0.106918    0.799632
0.113208    0.798919
0.119497    0.798919
0.125786    0.797067
0.132075    0.797067
0.138365    0.792668
0.144654    0.792668
0.150943    0.78319
0.157233    0.78319
0.163522    0.764815
0.169811    0.764815
0.176101    0.733074
0.18239    0.733074
0.188679    0.68483
0.194969    0.68483
0.201258    0.621299
0.207547    0.621299
0.213836    0.550295
0.220126    0.550295
0.226415    0.484805
0.232704    0.484805
0.238994    0.436947
0.245283    0.436947
0.251572    0.410967
0.257862    0.410967
0.264151    0.401654
0.27044    0.401654
0.27673    0.4
0.283019    0.4
0.289308    0.4
0.295597    0.4
0.301887    0.4
0.308176    0.4
0.314465    0.4
0.320755    0.4
0.327044    0.4
0.333333    0.4
0.339623    0.4
0.345912    0.4
0.352201    0.4
0.358491    0.4
0.36478    0.4
0.371069    0.4
0.377358    0.4
0.383648    0.4
0.389937    0.4
0.396226    0.4
0.402516    0.4
0.408805    0.4
0.415094    0.4
0.421384    0.4
0.427673    0.4
0.433962    0.4
0.440252    0.4
0.446541    0.4
0.45283    0.4
0.459119    0.4
0.465409    0.4
0.471698    0.4
0.477987    0.4
0.484277    0.4
0.490566    0.4
0.496855    0.4
0.503145    0.4
0.509434    0.4
0.515723    0.4
0.522013    0.4
0.528302    0.4
0.534591    0.4
0.540881    0.4
0.54717    0.4
0.553459    0.4
0.559748    0.4
0.566038    0.4
0.572327    0.4
0.578616    0.4
0.584906    0.4
0.591195    0.4
0.597484    0.4
0.603774    0.4
0.610063    0.4
0.616352    0.4
0.622642    0.4
0.628931    0.4
0.63522    0.4
0.641509    0.4
0.647799    0.4
0.654088    0.4
0.660377    0.4
0.666667    0.4
0.672956    0.4
0.679245    0.4
0.685535    0.4
0.691824    0.4
0.698113    0.4
0.704403    0.4
0.710692    0.4
0.716981    0.4
0.72327    0.4
0.72956    0.4
0.735849    0.4
0.742138    0.4
0.748428    0.4
0.754717    0.4
0.761006    0.4
0.767296    0.4
0.773585    0.4
0.779874    0.4
0.786164    0.4
0.792453    0.4
0.798742    0.4
0.805031    0.4
0.811321    0.4
0.81761    0.4
0.823899    0.4
0.830189    0.4
0.836478    0.400001
0.842767    0.400001
0.849057    0.400002
0.855346    0.400002
0.861635    0.400009
0.867925    0.400009
0.874214    0.400034
0.880503    0.400034
0.886792    0.400116
0.893082    0.400116
0.899371    0.400368
0.90566    0.400368
0.91195    0.401081
0.918239    0.401081
0.924528    0.402933
0.930818    0.402933
0.937107    0.407332
0.943396    0.407332
0.949686    0.41681
0.955975    0.41681
0.962264    0.435185
0.968553    0.435185
0.974843    0.466926
0.981132    0.466926
0.987421    0.51517
0.993711    0.51517
1    0.578701
